Date,Perps,Spot
10/6/2023,11378750,0
10/7/2023,11369662,0
10/8/2023,11311228,0
10/9/2023,11852957,0
10/10/2023,11842104,0
10/11/2023,12021577,0
10/12/2023,12296495,0
10/13/2023,12289293,0
10/14/2023,12551440,0
10/15/2023,12646005,0
10/16/2023,12777375,0
10/17/2023,12881666,0
10/18/2023,13012409,0
10/19/2023,13418146,0
10/20/2023,13851811,0
10/21/2023,13883854,0
10/22/2023,13946802,0
10/23/2023,13974716,0
10/24/2023,13991158,0
10/25/2023,13806628,0
10/26/2023,13451173,0
10/27/2023,13312689,0
10/28/2023,13385135,0
10/29/2023,13366242,0
10/30/2023,13296037,0
10/31/2023,13367046,0
11/1/2023,14168175,0
11/2/2023,14671463,0
11/3/2023,14609385,0
11/4/2023,14882790,0
11/5/2023,14876797,0
11/6/2023,15138217,0
11/7/2023,15366501,0
11/8/2023,15532376,0
11/9/2023,15684681,0
11/10/2023,15662718,0
11/11/2023,15731016,0
11/12/2023,16425198,0
11/13/2023,17325766,0
11/14/2023,17731478,0
11/15/2023,18511114,0
11/16/2023,19313760,0
11/17/2023,19554561,0
11/18/2023,19433670,0
11/19/2023,19193627,0
11/20/2023,19140688,0
11/21/2023,19690321,0
11/22/2023,20271220,0
11/23/2023,22071776,0
11/24/2023,22653474,0
11/25/2023,23295175,0
11/26/2023,23608760,0
11/27/2023,24704215,0
11/28/2023,25472678,0
11/29/2023,26815746,0
11/30/2023,28201349,0
12/1/2023,29650772,0
12/2/2023,30314022,0
12/3/2023,33095529,0
12/4/2023,34092704,0
12/5/2023,36212983,0
12/6/2023,37075111,0
12/7/2023,39146338,0
12/8/2023,39398381,0
12/9/2023,41467848,0
12/10/2023,41184561,0
12/11/2023,41371647,0
12/12/2023,39916987,0
12/13/2023,40409341,0
12/14/2023,40529229,0
12/15/2023,42317463,0
12/16/2023,42144824,0
12/17/2023,43188662,0
12/18/2023,43669534,0
12/19/2023,42899408,0
12/20/2023,44006229,0
12/21/2023,45531230,0
12/22/2023,47338241,0
12/23/2023,48680629,0
12/24/2023,49783907,0
12/25/2023,51146109,0
12/26/2023,53323608,0
12/27/2023,53281398,0
12/28/2023,54530682,0
12/29/2023,54845355,0
12/30/2023,56580962,0
12/31/2023,57245176,0
1/1/2024,57944200,0
1/2/2024,60782025,0
1/3/2024,64977193,0
1/4/2024,61418312,0
1/5/2024,63958210,0
1/6/2024,65575033,0
1/7/2024,65949240,0
1/8/2024,68545773,0
1/9/2024,70483180,0
1/10/2024,71348930,0
1/11/2024,78224115,0
1/12/2024,84748797,0
1/13/2024,88525275,0
1/14/2024,92462541,0
1/15/2024,95820723,0
1/16/2024,98485044,0
1/17/2024,102209060,0
1/18/2024,105144156,0
1/19/2024,106935736,0
1/20/2024,112133367,0
1/21/2024,112451704,0
1/22/2024,113681231,0
1/23/2024,115560244,0
1/24/2024,121791667,0
1/25/2024,124410459,0
1/26/2024,125143508,0
1/27/2024,126962758,0
1/28/2024,125918362,0
1/29/2024,128013626,0
1/30/2024,129537425,0
1/31/2024,132713499,0
2/1/2024,134525297,0
2/2/2024,136776169,0
2/3/2024,142165900,0
2/4/2024,144995860,0
2/5/2024,149389422,0
2/6/2024,153055183,0
2/7/2024,158157718,0
2/8/2024,161790312,0
2/9/2024,160335903,0
2/10/2024,164417810,0
2/11/2024,163974475,0
2/12/2024,161733026,0
2/13/2024,157325767,0
2/14/2024,156869601,0
2/15/2024,159566911,0
2/16/2024,166222244,0
2/17/2024,169562694,0
2/18/2024,171433309,0
2/19/2024,173635050,0
2/20/2024,179146833,0
2/21/2024,179682510,0
2/22/2024,180789766,0
2/23/2024,185860153,0
2/24/2024,192607914,0
2/25/2024,194849759,0
2/26/2024,196178668,0
2/27/2024,197887191,0
2/28/2024,204789783,0
2/29/2024,213367150,0
3/1/2024,215721586,0
3/2/2024,222262799,0
3/3/2024,227815079,0
3/4/2024,230714256,0
3/5/2024,242218490,0
3/6/2024,240859400,0
3/7/2024,249086920,0
3/8/2024,256039053,0
3/9/2024,261385371,0
3/10/2024,266637751,0
3/11/2024,268308520,0
3/12/2024,269470169,0
3/13/2024,270772493,0
3/14/2024,274610262,0
3/15/2024,283123709,0
3/16/2024,287694349,0
3/17/2024,288444662,0
3/18/2024,292050067,0
3/19/2024,296627585,0
3/20/2024,302081396,0
3/21/2024,315451379,0
3/22/2024,320690203,0
3/23/2024,321353181,0
3/24/2024,324741761,0
3/25/2024,334196308,0
3/26/2024,342997502,0
3/27/2024,345492001,0
3/28/2024,343607310,0
3/29/2024,343058172,0
3/30/2024,349893060,0
3/31/2024,350525430,0
4/1/2024,351273209,0
4/2/2024,347825731,0
4/3/2024,340008800,0
4/4/2024,340013492,0
4/5/2024,342205019,0
4/6/2024,342500866,0
4/7/2024,353529540,0
4/8/2024,355020081,0
4/9/2024,359307746,0
4/10/2024,364414333,0
4/11/2024,369737426,0
4/12/2024,377717875,0
4/13/2024,376489278,0
4/14/2024,355076095,0
4/15/2024,351370016,0
4/16/2024,350353410,0
4/17/2024,357141659,44166000
4/18/2024,351766698,40541700
4/19/2024,354192596,59039700
