Date,Aevo,ApeX,Avantis,Bluefin,Drift Protocol,dYdX v3,dYdX v4,Gains Network,GMX,Holdstation,Hyperliquid,Jupiter,KTX Finance,Level Finance,MUX Protocol,Perpetual Protocol,RabbitX,Synthetix,Vertex Protocol
21-May-21,,,,,,61567211.08,,,,,,,,,,,,,
22-May-21,,,,,,30540542.78,,,,,,,,,,,,,
23-May-21,,,,,,53772637.86,,,,,,,,,,,,,
24-May-21,,,,,,40194523.93,,,,,,,,,,,,,
25-May-21,,,,,,32180034.81,,,,,,,,,,,,,
26-May-21,,,,,,34867306.68,,,,,,,,,,,,,
27-May-21,,,,,,22157466.64,,,,,,,,,,,,,
28-May-21,,,,,,25434543.65,,,,,,,,,,,,,
29-May-21,,,,,,30039933.02,,,,,,,,,,,,,
30-May-21,,,,,,17279860.8,,,,,,,,,,,,,
31-May-21,,,,,,34300763.22,,,,,,,,,,,,,
1-Jun-21,,,,,,20513040.08,,,,,,,,,,,,,
2-Jun-21,,,,,,21580681.15,,,,,,,,,,,,,
3-Jun-21,,,,,,26269570.96,,,,,,,,,,,,,
4-Jun-21,,,,,,18307367.45,,,,,,,,,,,,,
5-Jun-21,,,,,,14214225.5,,,,,,,,,,,,,
6-Jun-21,,,,,,11340569.92,,,,,,,,,,,,,
7-Jun-21,,,,,,23170800.31,,,,,,,,,,,,,
8-Jun-21,,,,,,39498743.79,,,,,,,,,,,,,
9-Jun-21,,,,,,34779434.31,,,,,,,,,,,,,
10-Jun-21,,,,,,18067938.63,,,,,,,,,,,,,
11-Jun-21,,,,,,21031461.77,,,,,,,,,,,,,
12-Jun-21,,,,,,10760199.87,,,,,,,,,,,,,
13-Jun-21,,,,,,15304374.2,,,,,,,,,,,,,
14-Jun-21,,,,,,19849318.51,,,,,,,,,,,,,
15-Jun-21,,,,,,24027279.06,,,,,,,,,,,,,
16-Jun-21,,,,,,23650174.13,,,,,,,,,,,,,
17-Jun-21,,,,,,16010708.21,,,,,,,,,,,,,
18-Jun-21,,,,,,25150491.96,,,,,,,,,,,,,
19-Jun-21,,,,,,16102929.47,,,,,,,,,,,,,
20-Jun-21,,,,,,29880454.78,,,,,,,,,,,,,
21-Jun-21,,,,,,68031692.66,,,,,,,,,,,,,
22-Jun-21,,,,,,62283051.52,,,,,,,,,,,,,
23-Jun-21,,,,,,25105510.47,,,,,,,,,,,,,
24-Jun-21,,,,,,22849460.5,,,,,,,,,,,,,
25-Jun-21,,,,,,24595839.81,,,,,,,,,,,,,
26-Jun-21,,,,,,23183416.2,,,,,,,,,,,,,
27-Jun-21,,,,,,17253301.32,,,,,,,,,,,,,
28-Jun-21,,,,,,28815157.3,,,,,,,,,,,,,
29-Jun-21,,,,,,28787522.08,,,,,,,,,,,,,
30-Jun-21,,,,,,24308041.21,,,,,,,,,,,,,
1-Jul-21,,,,,,22949936.73,,,,,,,,,,,,,
2-Jul-21,,,,,,22072321.14,,,,,,,,,,,,,
3-Jul-21,,,,,,13120209.14,,,,,,,,,,,,,
4-Jul-21,,,,,,20657780.27,,,,,,,,,,,,,
5-Jul-21,,,,,,29130087.44,,,,,,,,,,,,,
6-Jul-21,,,,,,27886918.73,,,,,,,,,,,,,
7-Jul-21,,,,,,34026846.45,,,,,,,,,,,,,
8-Jul-21,,,,,,26762708.37,,,,,,,,,,,,,
9-Jul-21,,,,,,18700689.17,,,,,,,,,,,,,
10-Jul-21,,,,,,13624067.14,,,,,,,,,,,,,
11-Jul-21,,,,,,13659976.18,,,,,,,,,,,,,
12-Jul-21,,,,,,19460715.53,,,,,,,,,,,,,
13-Jul-21,,,,,,14191349.9,,,,,,,,,,,,,
14-Jul-21,,,,,,13426727,,,,,,,,,,,,,
15-Jul-21,,,,,,10191578.48,,,,,,,,,,,,,
16-Jul-21,,,,,,9544924.956,,,,,,,,,,,,,
17-Jul-21,,,,,,8978866.667,,,,,,,,,,,,,
18-Jul-21,,,,,,8197928.071,,,,,,,,,,,,,
19-Jul-21,,,,,,11202872.23,,,,,,,,,,,,,
20-Jul-21,,,,,,18286860.08,,,,,,,,,,,,,
21-Jul-21,,,,,,26444745.78,,,,,,,,,,,,,
22-Jul-21,,,,,,23013329.01,,,,,,,,,,,,,
23-Jul-21,,,,,,17989552.54,,,,,,,,,,,,,
24-Jul-21,,,,,,15185203.84,,,,,,,,,,,,,
25-Jul-21,,,,,,10417771.17,,,,,,,,,,,,,
26-Jul-21,,,,,,56641527.63,,,,,,,,,,,,,
27-Jul-21,,,,,,29724780.01,,,,,,,,,,,,,
28-Jul-21,,,,,,36305630.76,,,,,,,,,,,,,
29-Jul-21,,,,,,20251922.11,,,,,,,,,,,,,
30-Jul-21,,,,,,37553316.32,,,,,,,,,,,,,
31-Jul-21,,,,,,22799280.38,,,,,,,,,,,,,
1-Aug-21,,,,,,53149546.04,,,,,,,,,,,,,
2-Aug-21,,,,,,38789667.55,,,,,,,,,,,,,
3-Aug-21,,,,,,217726677.8,,,,,,,,,,,,,
4-Aug-21,,,,,,177865222.3,,,,,,,,,,,,,
5-Aug-21,,,,,,184273439.3,,,,,,,,,,,,,
6-Aug-21,,,,,,172847094.4,,,,,,,,,,,,,
7-Aug-21,,,,,,219953147.5,,,,,,,,,,,,,
8-Aug-21,,,,,,158509014.9,,,,,,,,,,,,,
9-Aug-21,,,,,,217943360,,,,,,,,,,,,,
10-Aug-21,,,,,,183445432.1,,,,,,,,,,,,,
11-Aug-21,,,,,,211056920.3,,,,,,,,,,,,,
12-Aug-21,,,,,,188316538.6,,,,,,,,,,,,,
13-Aug-21,,,,,,255144365.3,,,,,,,,,,,,,
14-Aug-21,,,,,,303832512.5,,,,,,,,,,,,,
15-Aug-21,,,,,,250290001.4,,,,,,,,,,,,,
16-Aug-21,,,,,,299394857.6,,,,,,,,,,,,,
17-Aug-21,,,,,,323515555.7,,,,,,,,,,,,,
18-Aug-21,,,,,,257608531,,,,,,,,,,,,,
19-Aug-21,,,,,,327785179.4,,,,,,,,,,,,,
20-Aug-21,,,,,,308782410.6,,,,,,,,,,,,,
21-Aug-21,,,,,,356673299,,,,,,,,,,,,,
22-Aug-21,,,,,,336624754.4,,,,,,,,,,,,,
23-Aug-21,,,,,,417453701.2,,,,,,,,,,,,,
24-Aug-21,,,,,,383403154.7,,,,,,,,,,,,,
25-Aug-21,,,,,,473649536.8,,,,,,,,,,,,,
26-Aug-21,,,,,,673066750.6,,,,,,,,,,,,,
27-Aug-21,,,,,,821323950.4,,,,,,,,,,,,,
28-Aug-21,,,,,,615440171.3,,,,,,,,,,,,,
29-Aug-21,,,,,,2558937146,,,,,,,,,,,,,
30-Aug-21,,,,,,1310152217,,,,,,,,,,,,,
31-Aug-21,,,,,,1800342582,,,152.5297566,,,,,,,,,,
1-Sep-21,,,,,,390645883,,,101845.9711,,,,,,,,,,
2-Sep-21,,,,,,303547772.6,,,648334.1375,,,,,,,,,,
3-Sep-21,,,,,,360405213.8,,,2899893.047,,,,,,,,,,
4-Sep-21,,,,,,244644222.3,,,300507.5428,,,,,,,,,,
5-Sep-21,,,,,,245109648.2,,,644284.4212,,,,,,,,,,
6-Sep-21,,,,,,307486309.4,,,1673148.55,,,,,,,,,,
7-Sep-21,,,,,,825977499.8,,,16662452.13,,,,,,,,,,
8-Sep-21,,,,,,622967486,,,25554364.75,,,,,,,,,,
9-Sep-21,,,,,,719344889.7,,,2878250.014,,,,,,,,,,
10-Sep-21,,,,,,922399652.1,,,4869483.137,,,,,,,,,,
11-Sep-21,,,,,,723742450,,,2878210.682,,,,,,,,,,
12-Sep-21,,,,,,865007787.8,,,9413275.366,,,,,,,,,,
13-Sep-21,,,,,,1241500425,,,8460265.422,,,,,,,,,,
14-Sep-21,,,,,,903111151.2,,,6187322.525,,,,,,,,,,
15-Sep-21,,,,,,884871424.6,,,8785845.217,,,,,,,,,,
16-Sep-21,,,,,,1352533100,,,11713038.23,,,,,,,,,,
17-Sep-21,,,,,,1297253579,,,14028533.27,,,,,,,,,,
18-Sep-21,,,,,,1366707248,,,15763619.63,,,,,,,,,,
19-Sep-21,,,,,,1636064601,,,20574446.66,,,,,,,,,,
20-Sep-21,,,,,,2531512685,,,46933547.06,,,,,,,,,,
21-Sep-21,,,,,,2346921895,,,51329598.97,,,,,,,,,,
22-Sep-21,,,,,,1652740597,,,30997248.81,,,,,,,,,,
23-Sep-21,,,,,,1697838871,,,7882515.689,,,,,,,,,,
24-Sep-21,,,,,,2345731548,,,35827795.54,,,,,,,,,,
25-Sep-21,,,,,,2109365462,,,20827686.76,,,,,,,,,,
26-Sep-21,,,,,,4041595947,,,18582178.6,,,,,,,,,,
27-Sep-21,,,,,,9141131111,,,19104562.31,,,,,,,,,,
28-Sep-21,,,,,,8763696150,,,22449915.32,,,,,,,,,,
29-Sep-21,,,,,,1893330411,,,20369901.89,,,,,,,,,,
30-Sep-21,,,,,,2220697071,,,14183249.63,,,,,,,,,,
1-Oct-21,,,,,,2495478140,,,13148835.92,,,,,,,,,,
2-Oct-21,,,,,,1578242106,,,7807231.093,,,,,,,,,,
3-Oct-21,,,,,,1593622052,,,9912587.919,,,,,,,,,,
4-Oct-21,,,,,,2003119037,,,24917897.64,,,,,,,,,,
5-Oct-21,,,,,,1851863128,,,20474763.54,,,,,,,,,,
6-Oct-21,,,,,,2573088048,,,19693602.33,,,,,,,,,,
7-Oct-21,,,,,,2215131337,,,18624747.83,,,,,,,,,,
8-Oct-21,,,,,,2120741771,,,11411836,,,,,,,,,,
9-Oct-21,,,,,,1807687617,,,8248362.192,,,,,,,,,,
10-Oct-21,,,,,,2193131952,,,19222554.05,,,,,,,,,,
11-Oct-21,,,,,,2461993180,,,24670917.84,,,,,,,,,,
12-Oct-21,,,,,,3115239057,,,27469698.44,,,,,,,,,,
13-Oct-21,,,,,,2861724448,,,18923054.5,,,,,,,,,,
14-Oct-21,,,,,,4172641733,,,31648242.15,,,,,,,,,,
